Crime Description,City,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Severity Score
IDENTITY THEFT,Ahmedabad,16,M,Blunt Object,Violent Crime,13,No,4
HOMICIDE,Chennai,37,M,Poison,Other Crime,9,No,10
KIDNAPPING,Ludhiana,48,F,Blunt Object,Other Crime,15,No,9
BURGLARY,Pune,49,F,Firearm,Other Crime,1,Yes,6
VANDALISM,Pune,30,F,Other,Other Crime,18,Yes,3
ASSAULT,Delhi,16,M,Firearm,Violent Crime,18,Yes,8
VEHICLE - STOLEN,Chennai,64,F,Knife,Violent Crime,13,Yes,5
COUNTERFEITING,Chennai,78,X,Knife,Other Crime,8,No,4
EXTORTION,Mumbai,41,X,Blunt Object,Other Crime,1,No,7
PUBLIC INTOXICATION,Chennai,29,M,Knife,Other Crime,4,No,1
FRAUD,Delhi,71,M,Explosives,Other Crime,5,Yes,4
IDENTITY THEFT,Surat,26,M,Poison,Violent Crime,3,No,4
FRAUD,Visakhapatnam,36,F,Poison,Other Crime,3,Yes,4
ASSAULT,Mumbai,32,X,Unknown,Violent Crime,18,No,8
SEXUAL ASSAULT,Bangalore,77,F,Unknown,Violent Crime,19,No,9
COUNTERFEITING,Kolkata,51,F,Explosives,Other Crime,16,Yes,4
DRUG OFFENSE,Ghaziabad,61,M,Poison,Other Crime,6,No,6
ARSON,Pune,64,F,Other,Fire Accident,2,No,9
CYBERCRIME,Bangalore,11,M,Unknown,Other Crime,3,Yes,5
EXTORTION,Bangalore,62,F,Blunt Object,Other Crime,2,Yes,7
TRAFFIC VIOLATION,Hyderabad,50,F,Poison,Traffic Fatality,14,Yes,2
VANDALISM,Mumbai,64,F,Other,Other Crime,15,Yes,3
SHOPLIFTING,Jaipur,69,F,Blunt Object,Other Crime,13,No,2
VANDALISM,Chennai,77,F,Other,Other Crime,18,No,3
DRUG OFFENSE,Bangalore,18,F,Other,Other Crime,1,No,6
ASSAULT,Jaipur,60,M,Firearm,Violent Crime,15,Yes,8
IDENTITY THEFT,Pune,49,M,Blunt Object,Violent Crime,13,No,4
PUBLIC INTOXICATION,Lucknow,41,F,Unknown,Other Crime,7,No,1
VANDALISM,Bangalore,33,F,Explosives,Other Crime,19,No,3
BURGLARY,Bhopal,37,F,Unknown,Other Crime,4,No,6
HOMICIDE,Bhopal,32,F,Explosives,Other Crime,13,No,10
VANDALISM,Hyderabad,60,M,Knife,Other Crime,3,Yes,3
ILLEGAL POSSESSION,Delhi,73,F,Knife,Other Crime,19,No,5
VEHICLE - STOLEN,Patna,24,F,Explosives,Violent Crime,6,No,5
VANDALISM,Kanpur,34,F,Other,Other Crime,14,No,3
COUNTERFEITING,Chennai,32,F,Blunt Object,Other Crime,11,No,4
SEXUAL ASSAULT,Lucknow,33,F,Blunt Object,Violent Crime,9,Yes,9
SHOPLIFTING,Varanasi,22,F,Explosives,Other Crime,14,No,2
VEHICLE - STOLEN,Surat,32,F,Unknown,Violent Crime,13,Yes,5
FRAUD,Mumbai,69,F,Explosives,Other Crime,10,Yes,4
HOMICIDE,Visakhapatnam,28,F,Firearm,Other Crime,2,No,10
ILLEGAL POSSESSION,Surat,42,M,Blunt Object,Other Crime,6,No,5
FIREARM OFFENSE,Delhi,40,M,Poison,Fire Accident,10,Yes,8
SEXUAL ASSAULT,Mumbai,44,M,Other,Violent Crime,7,No,9
ARSON,Kolkata,44,F,Blunt Object,Fire Accident,10,Yes,9
DRUG OFFENSE,Patna,67,M,Knife,Other Crime,8,No,6
ROBBERY,Delhi,47,F,Unknown,Violent Crime,9,No,8
FIREARM OFFENSE,Lucknow,38,F,Blunt Object,Fire Accident,14,Yes,8
ILLEGAL POSSESSION,Jaipur,77,F,Firearm,Other Crime,17,No,5
DRUG OFFENSE,Hyderabad,37,F,Blunt Object,Other Crime,7,No,6
BURGLARY,Nagpur,54,F,Other,Other Crime,12,Yes,6
BURGLARY,Kolkata,38,F,Blunt Object,Other Crime,5,Yes,6
PUBLIC INTOXICATION,Ghaziabad,29,M,Poison,Other Crime,15,Yes,1
BURGLARY,Delhi,75,M,Explosives,Other Crime,2,No,6
FIREARM OFFENSE,Pune,61,F,Poison,Fire Accident,5,No,8
BURGLARY,Meerut,49,F,Unknown,Other Crime,19,No,6
SEXUAL ASSAULT,Kanpur,67,F,Firearm,Violent Crime,8,Yes,9
ASSAULT,Ahmedabad,70,F,Unknown,Violent Crime,15,No,8
TRAFFIC VIOLATION,Chennai,75,F,Blunt Object,Traffic Fatality,16,No,2
SHOPLIFTING,Thane,53,F,Other,Other Crime,6,Yes,2
SHOPLIFTING,Mumbai,16,M,Poison,Other Crime,10,No,2
DRUG OFFENSE,Surat,30,M,Explosives,Other Crime,9,Yes,6
FRAUD,Chennai,56,M,Explosives,Other Crime,5,Yes,4
ILLEGAL POSSESSION,Thane,19,F,Blunt Object,Other Crime,16,Yes,5
